어휘,품사,뜻풀이
기술수명주기,품사 없음,기술이 개발되어 다양한 제품을 생산하는 데 활용되다가 새로운 기술에 의하여 대체될 때까지의 주기.
기술수용모형,품사 없음,사용자가 기술을 수용하여 언제 어떻게 사용하고l 수용에 영향을 미치는 요인이 무엇인지 따위를 규명하기 위해 제시한 모형.
기술수용주기이론,품사 없음,각 시장별로 고객들이 기술을 수용하는 정도가 다르다는 이론. 미국의 로저스(Rogersl E.)가 주장한 이론으로 새로운 기술이나 혁신 프로그램이 도입된 이후의 시장을 초기 시장l 주류 시장l 말기 시장으로 구분하였다.
기술수출,품사 없음,국내의 생산 기술을 외국에 파는 일. 좁은 뜻으로는 기술 원조만을 가리키나l 넓은 뜻으로는 플랜트 수출까지 포함한다.
기술수출계약,품사 없음,특허l 실용신안l 디자인l 상표 등 공업 소유권이나 노하우의 공여에 관하여 두 기업 사이에서 맺는 계약.
기술수출예비승인,품사 없음,방산 업체나 방산 물자를 수출하는 업체가 자신들이 가진 특정 기술을 국외로 수출하고자 하는 경우l 정부가 이를 승인하는 일. 수출 허가의 전 단계이다.
기술시너지,품사 없음,신제품 분야와 기업이 보유한 제품 분야 간에 기술의 결합으로 인한 동반 상승효과.
기술시방서,품사 없음,제품 및 서비스의 특징 가운데 품질l 성능l 안전성l 치수 따위에 대하여 규정하는 문헌. 용어l 기호l 시험 항목 및 시험 방법l 포장l 표시 요건 따위를 게재하거나 취급 규정의 형식을 취하는 것도 있다.
기술시범,품사 없음,특정 군사 기술에 결함이 있을 경우l 민간의 과학 기술을 적용한 해결 방안이 군사적으로 유효한지 평가하는 절차.
기술시사회,품사 없음,영화의 후반 작업까지 마친 상태에서 영화 제작에 참여한 사람들이 모두 모여 갖는 시사회.
기술시장,품사 없음,기술 공급자와 기술 수요자 간에 기술의 판매와 구매 행위를 통하여 유ㆍ무형의 기술 거래 행위가 이뤄지는 거래 체계.
기술시험위성,품사 없음,로켓 발사 기술이나 위성에 관한 기술을 습득할 목적으로 발사하는 위성.
기술신비주의,명사,근로자의 창조적 힘과 지혜를 믿지 않고 특정한 사람만이 과학과 기술을 알고 발전시킬 수 있다고 하면서 기술을 신비화하려는 사상.
기술신용보증,품사 없음,담보가 부족하여 자금을 확보하기 어려운 신기술 사업자가 자금을 대출받을 수 있도록 채무의 이행을 보증해 주는 제도.
기술신용보증기금,품사 없음,기술을 보증하고 평가하여 기업의 기술 혁신 역량과 기술 금융을 지원하기 위해 1989년에 정부가 설립한 기술 금융 전문 기관.
기술신화,품사 없음,주로 자연적 사상이나 문화적 현상을 구체적으로 서술하는 신화.
기술신화학,품사 없음,신화를 기술하고 그것을 기초로 분류하고 체계화하는 신화학.
기술실시계약,품사 없음,연구 개발의 결과물인 특정 기술을 소유한 자와 이 기술을 사용하고자 하는 자가 실시권의 내용l 기술료l 기술료 납부 방법 따위에 관하여 체결하는 계약.
기술심리학,품사 없음,정신 현상은 자연 과학적 분석 방법만으로는 파악할 수 없으므로 주관적인 요해적 방법으로 파악하려는 심리학. 독일의 철학자 딜타이가 제창하였다.
기술씨름,품사 없음,힘보다 기술을 중시하는 씨름.
기술아웃소싱,품사 없음,외부 전문 기업 또는 인력과 기술을 활용하여 기업의 기술을 개발하는 일련의 활동.
기술아키텍처,품사 없음,데이터 관리 및 업무를 처리하는 응용 애플리케이션을 지원하기 위한 환경을 조성하는 중요 기술을 정의하여l 전사적 비즈니스를 위한 데이터의 흐름을 체계적으로 표현하는 인프라 플랫폼을 구체화한 것.
기술안전보장,품사 없음,첨단ㆍ전략 기술이 공산권으로 이전되는 것을 막고l 선진 동맹 제국의 국방 관련 기술이 미국으로 진출하는 것을 억제하기 위하여l 1982년에 수립된 미국의 정책.
기술어,명사,데이터베이스의 정보를 분류하거나 문헌의 개념이나 내용을 표현하기 위해 사용되는 색인어.
기술언어학,품사 없음,어떤 언어를 대상으로 하여 한 시기의 상태를 과학적으로 기술하는 학문. 언어학의 한 분야이다. 일반적으로 미국의 구조 언어학을 이른다.
기술업,명사,과학 이론을 실제로 적용하여 자연의 사물을 인간 생활에 유용하도록 가공하는 수단과 관련된 산업.
기술업계,명사,기술업에 종사하는 사람들의 활동 분야.
기술업자,명사,기술업에 종사하는 사람.
기술 업종,품사 없음,기술업에 해당하는 직업이나 사업의 종류.
기술업체,명사,기술업에 종사하는 기업체.
기술역,명사,차량의 기술 검사와 정비l 여객에 대한 봉사와 화물을 싣고 부리는 일을 할 수 있는 시설을 갖춘 역.
기술역이전,품사 없음,다른 쪽에 이행했던 축적된 고도의 기술을 다시 넘겨받음으로써 이루어지는 기술 개발.
기술역학,품사 없음,역학적인 자료를 사람l 장소l 시간적 특성 따위의 역학적 변수에 따라 정리하고 요약하는 학문.
기술연락회선,품사 없음,인텔샛 시스템의 운전 및 관리를 위해 필요한 통신 설비. 디지털 통신 방식으로 운전 및 기술 관련 연락을 위한 회선을 제공한다.
기술 연수,품사 없음,기술을 익히기 위하여 현지에 가서 직접 기술을 배우고 닦음.
기술연습,품사 없음,디자이너와 기술진이 장면 전환l 조명 큐l 음향 큐 따위를 포함한 모든 기술적 사항을 점검하는 연습.
기술오류,품사 없음,항공기에 관한 자재의 결함 또는 기계적 결함을 이르는 말.
기술오차,품사 없음,측정 오차 중에 원인을 알면 제거할 수 있는 오차.
기술외교,품사 없음,과학 및 산업 기술의 교류와 협력을 목적으로 펼치는 외교.
기술요술,명사,고도로 숙련된 손 기술을 가지고 사람의 눈을 속이는 요술. 요술 배우의 기본 훈련 종목이며 그의 기량과 자질에 대한 평가 기준이 된다.
기술용역,품사 없음,과학 기술을 응용하여 사업이나 시설물을 설계하고 감리하는 등 여러 가지 기술을 의뢰자에게 제공하여 주는 일.
기술워크스테이션,품사 없음,컴퓨터 기반 설계 및 시뮬레이션l 프로그램 개발l 리포트 작성과 같은 전문 작업을 지원하는 워크스테이션.
기술원,명사,기술 분야의 일에 종사하는 사람.
기술원조,품사 없음,선진국의 정부나 민간 기업 따위가 주로 개발 도상국에 대하여 기술을 제공하는 일.
기술원조계약,품사 없음,기술에 관한 권리의 양도l 해당 권리에 관한 사용권의 설정l 공장 경영에 대한 기술 지도 따위에 관한 계약.
기술위원회,품사 없음,국제 표준화 기구 내 정보 처리와 사무기기 따위 관련 전문 위원회. 컴퓨터와 정보 처리 관계의 티시 95l 사무기기 관계의 티시 97 따위로 구분되어 있다. 티시 아래에 스터디 그룹l 작업 그룹이 조직되어 있다.
기술윈도,품사 없음,동시에 여러 개의 파일을 편집하는 프로그램에서 읽어 들인 각각의 파일을 출력한 각각의 윈도.
기술유토피아,품사 없음,인간 생활에 유용한l 구체적이고 실제적인 기술을 통하여 이룩될 수 있다고 여겨지는 완전한 사회.
기술윤리,품사 없음,과학 지식과 기술에 대한 도덕적 관념. 표절l 조작l 생명l 환경l 정보 따위에 대한 윤리 의식을 말한다.
기술융복합지원센터,품사 없음,기업 간 협력에 기반한 기술의 융합과 복합을 활성화하기 위해 권역별로 센터를 지정하여 기존 기술의 한계를 극복한 융합ㆍ복합 기술 과제를 발굴하고 지원하기 위해 지정한 기관.
기술융합화,품사 없음,이업종 교류 사업에 참여하는 회원들이 새로운 사업 분야를 개척하고자 각자의 기술과 경영 자원을 융합하는 일. 새로운 기술과 제품 개발l 판로 개척l 서비스 제공 따위를 공동으로 연구하거나 사업화하는 활동을 포함한다.
기술음악,품사 없음,악기의 소리로써 여러 가지 자연의 소리나 사물의 현상을 묘사하려는 표제 음악의 하나. 묘사의 대상은 폭풍우l 새소리l 전쟁의 함성l 비행기의 폭음l 시장의 소란 따위로 다양하며l 14세기부터 시도되어 16세기에는 프랑스의 샹송에도 나타났고 바로크 음악 이후에는 다양한 전개를 보였다.
기술의 비극,품사 없음,1990년 발간된 포스트모더니즘 예술 이론가 힐(Hilll S.)의 책. 컴퓨터 기술의 발달로 예술을 대체할 수 있게 된 현실에 대해l 기술에 인간 가치를 삽입시켜야 된다고 주장했다.
기술이민,품사 없음,어떤 전문적인 기술을 가지고 자기 나라를 떠나 다른 나라로 이주하는 일.
기술이민비자,품사 없음,어떤 전문적인 기술을 가지고 이민을 할 경우에 발급받는 비자.
기술이전,품사 없음,기술이 발달된 선진국에서 개발 도상국으로l 또는 특정 기술을 가지고 있는 기업이 그렇지 못한 다른 기업으로 기술을 넘겨주는 일.
기술이전율,품사 없음,개인이나 단체가 한 해 동안 개발한 기술이 산업체 등으로 이전되어 실용화된 비율. 해당 연도의 신규 기술 보유 건수에 대한 기술 이전 건수의 백분율이다.
기술이전전문가그룹,품사 없음,기술 이전에 대한 전문가들의 연구 결과와 세계에서 추진 중인 사례 분석을 통해 에너지 절약 및 대체 에너지 기술 따위를 논의하는 위원회. 2001년 11월에 기후 변화 협약 제7차 당사국 총회에서 구성되었다.
기술이전정보센터,품사 없음,유엔 기후 변화 협약 사무국에서 설립한l 인터넷 기반의 기술 이전을 위한 정보 센터. 환경적으로 안전한 기술을 개발하여 이전하거나 그에 대한 접근을 향상시키는 것을 목적으로 한다.
기술이전조직,품사 없음,대학이나 연구소의 지적 재산을 체계적으로 관리하고 이를 외부 기업이 사용할 수 있도록 지원하는 전담 조직. 연구 개발의 결과나 발명품에 대한 기술 마케팅 따위를 지원한다.
기술이전협정서,품사 없음,특정 기술을 개발하고 제작한 업체와 이를 사용하고자 하는 업체 사이에 해당 기술을 옮기는 문제와 관련하여 상호 간에 합의한 제반 사항을 기록한 문서.
기술인,명사,전문적인 기술을 가진 사람.
기술인테리,명사,기술 지식을 가지고 건설에 이바지하는 지식인. ⇒규범 표기는 ‘기술인텔리’이다.
기술인프라파트너십,품사 없음,보유 장비의 교환 및 공통 활용을 통해 연구 및 시험 장비에 대한 상호 활용도를 높이는 것.
기술자,명사,어떤 분야에 전문적 기술을 가진 사람.
기술자격,품사 없음,기술과 관련된 자격.
기술자격검정제도,품사 없음,기술 수준의 향상을 도모하기 위하여 고용 노동부가 검정에 의하여 일정한 수준에 도달한 사람에게 기술사나 기능사의 자격을 주는 제도.
기술자격증,품사 없음,특정 기술을 다룰 수 있는 일정한 자격을 인정하여 주는 증서.
기술자료,품사 없음,특정 장비나 체계에 대한 개발l 생산 규격l 사용법l 성능l 정비 교범l 시험 결과 따위와 같은 제반적인 사항에 대한 종합적인 정보. 종합 군수 지원 업무의 설계 및 수행에 이용된다.
기술자료임치제도,품사 없음,중소기업의 기술 자료를 전문 기관에 보관하여 기술 유출을 방지하고l 중소기업이 폐업이나 파산을 했을 때 계약 조건에 따라 대기업이 기술을 사용할 수 있도록 보장하는 제도.
기술자문그룹,품사 없음,건설 산업의 정보 공유화를 추진하기 위한 국제 조직인 산업용 상호 운영성 연합 내의 기술을 자문해 주는 그룹.
기술자용,명사,기술자가 씀. 또는 그런 물건.
기술자원,품사 없음,기업의 특허권l 의장권l 상표권 따위로 보호되는 기술적인 핵심 자원.
기술자작업시간,품사 없음,일상 점검 혹은 컴퓨터가 고장 난 경우에 고장 수리나 예방 보수를 위하여 컴퓨터를 정상 가동시키지 않은 시간.
기술장벽협정,품사 없음,강제 법규나 임의 규격 같은 나라마다 서로 다른 표준 인정 제도가 불필요한 무역 장벽이 되지 않도록 체결한 협정. 국제 규격을 기준으로 규격을 제정해야 하며 기준 제정의 투명성을 확보하기 위하여 규격 내용을 세계 무역 기구 사무국에 통보하도록 의무화하고 있다.
기술장비도,명사,생산에 쓰고 있는 기술 수단의 양적 수준과 구조 상태를 반영하는 지표.
기술장이,명사,기술 분야에 종사하는 사람을 낮잡아 이르는 말.
기술적,관·명,기술에 관계가 있거나 기술에 의한. 또는 그런 것.
기술적강세,품사 없음,대부분의 기술적 지표들이 주가 상승을 지지하고 있는 상태.
기술적권위,품사 없음,관련 분야의 기술적 능력과 전문성에 기초해 영향력을 행사하는 힘이나 위신.
기술적기보법,품사 없음,연주자에게 그림을 그리거나 기술하여 소리를 설명하는 기보법. 초기 전자 음악의 악보에서 많이 쓰였다.
기술적능률,품사 없음,최소의 비용으로 최대의 산출을 얻기 위해서는l 업무 배분으로 인한 기능 중복을 피하고 행정 조직의 구조와 기능으로 인한 역기능을 최소화해야 한다는 개념.
기술적등락,품사 없음,수요와 공급이라는 기본적인 가격 결정 요인과는 별도로 선물 시장 자체 내에서 형성되는 상황의 변화 때문에 상품이나 금융 수단의 가격이 상승하거나 하락하는 현상. 선물 시장의 상황 변화의 예로는 미정산 계약량l 거래량l 최근의 가격 추이 및 최초 통고일의 도래 따위가 있다.
기술적무역장해에관한협정,품사 없음,1980년에 도쿄 라운드에서 합의한 기술 규격에 관한 협정. 수입 장벽을 없애기 위하여 제품의 규격이 국제적 검사 기준에 합격하면 수입품도 자국 상품과 동등하게 품질 보장 인정 제도를 적용한다.
기술적반등,품사 없음,주가가 급격히 하락하다가 일시적으로 일어나는 반등.
기술적법규,품사 없음,법 기술상의 요청이 있거나 법규 그 자체가 기술로서의 기능을 갖거나 과학 기술을 그 내용으로 하는 법규를 통틀어 이르는 말. 기간(期間)의 계산이 필요한 법규l 도로 교통과 관련된 법규l 컴퓨터 프로그램에 관한 법규 따위가 있다.
기술적보호조치,품사 없음,저작권을 용이하고 저렴하게 집행하거나 저작물에 접근하는 것을 제한하기 위하여 사용하는 도구. 암호화l 디지털 <FL>워터마크</FL>l 디지털 서명l 비밀번호가 정확한 것인지 확인하기 위한 프로그램 따위가 있다.
기술적분석,품사 없음,미래의 주가를 예측하기 위하여 과거의 주가와 거래량의 흐름을 분석하는 방법.
기술적분업,품사 없음,한 작업 과정을 기술의 전문 분야에 따라 나누어 맡아 하는 일.
기술적불연속성,품사 없음,획기적인 가격ㆍ성능ㆍ품질을 갖춘 새로운 제품과 서비스를 제공하여 시장을 장악하고 기존의 보편화된 기술적 인식의 체계를 바꾸는 현상. 인터넷l 전기 자동차l 컴퓨터 따위가 기술적 불연속성의 대표적인 예이다.
기술적사격속도,명사,자동 무기로 1분 동안 연발 사격을 할 때의 사격 속도. 쏘는 탄알 수로 나타낸다.
기술적사무통신규약,품사 없음,사용자의 기능적ㆍ기술적 요구 사항을 충족시키기 위하여 산업체 공장과 사무실 환경에서의 분산 정보 효율화와 내용의 질적 향상을 지향하는 사무 자동화용 통신 규약.
기술적상호운용성,품사 없음,시스템을 구성하는 표준l 메시지 양식l 기술 참조 모델 따위를 정의하고 서비스l 인터페이스l 표준 및 이들 간의 관계성을 식별하는 따위로 체계 간 상호 운용을 구현하기 위해 필요한 기술적인 지침을 제공하는 능력.
기술적생산성,품사 없음,기계와 기계의 주기(週期)l 주기의 손실 시간 따위를 고려하지 않을 때의 생산성. 단위 시간에 생산하는 제품의 양으로 나타낸다.
기술적성능측정,품사 없음,특정 장비나 제품l 혹은 시스템 따위가 기술적으로 요구되는 사항이나 본래의 성능 목표치를 달성한 정도를 측정하는 지표.
기술적속성,품사 없음,데이터베이스의 개념적 설계 단계에서 개체의 성질을 기술하는 속성.
기술적수필,품사 없음,내용에 따라 분류한 수필의 한 갈래로l 작가의 주관적인 감정이나 사상을 섞지 않고 순수한 사실을 묘사하듯 적은 수필.
기술적실업,품사 없음,기술의 진보에 따라 발생하는 실업. 기술 발달로 기계가 인간의 노동을 대체하면서 나타나는 선진국의 실업 형태이다.
기술적약세,품사 없음,대부분의 기술적 지표들이 주가 하락을 나타내는 상태.
기술적역량,품사 없음,연구 개발에 대한 투자를 1% 늘릴 때 연구 개발 산출물을 얼마나 늘릴 수 있는지를 나타내는 지표. 즉 기업의 연구 개발의 생산성을 의미한다.
기술적연구,품사 없음,환경 설계 연구에서 일정 그룹의 특성과 그 특성들의 관계를 되도록 정확하게 기술하고 측정하는 방법.
기술적열화,품사 없음,보다 새롭게 발전된 기계 설비의 출현으로 현재 보유하고 있는 기계 설비가 구식화되는 현상.
기술적예측,품사 없음,기업과 연관된 새로운 기술의 변화를 예측하는 일. 산업 기술이 고도화되면서 중요성이 강조되고 있다.
기술적요약,품사 없음,정보의 종류나 내용을 집약하여 간단하게 설명해 놓은 것.
기술적용연구,품사 없음,특정 기술을 이전해 왔거나 개발했을 경우l 해당 기술을 실용화하기 위해 추가적으로 요구되는 연구.
기술적의사결정론,품사 없음,조직의 의사 결정 과정을 분석하고 기술하여 이론화한 기술론.
기술적잠재량,품사 없음,현 상태에서 가장 효율적인 기술을 이용하여 일시적으로 디에스엠(DSM) 기술로 전환할 경우에 예상되는 절전 잠재량. 이론적으로만 도달 가능하다.
기술적장벽,품사 없음,제품에 대한 각국의 기술 규격의 차이로 야기되는 무역 장벽.
기술적절차,품사 없음,프로그래밍 언어 알골에서 입출력의 서식l 행의 길이 따위와 같은 논리적 환경을 설정하기 위한 절차. 입력 리스트와 출력 리스트의 실파라미터로서 기술되는 절차에서만 사용한다.
기술적조사,품사 없음,의사 결정에 영향을 미치는 변수들의 상호 관계를 파악하고 상황 변화에 따라 응답자의 반응이 어떻게 달라지는지 예측하는 데 사용되는 조사. 횡단 조사l 종단 조사l 패널 조사 따위가 있다.
기술적조정,품사 없음,주가가 광범위하게 상승한 후 일시적으로 하락하는 현상.
기술적준비,명사,체육 교수 훈련에서l 선수들의 기술적 기교와 기량을 키움.
기술적지급불능,품사 없음,일시적인 유동성 부족으로 만기가 된 채무를 상환하지 못하는 상태.
기술적지표,품사 없음,투자 시기나 투자 종목을 선정하는 데 도움을 주기 위한 기술적 분석에서l 분석의 대상이 되는 변수. 여러 가지 도표의 형태l 거래량l 다른 각종 거래 관련 변수들이 포함된다.
기술적진단,품사 없음,기술 체계의 고장을 발견하고 고장 난 요소를 찾기 위하여 기술 체계의 작용 상태를 검사하고 예측하는 일.
기술적진단체계,명사,기계나 생산 공정의 작업 상태를 감시하여 비정상적인 동작 상태를 바로 찾아내고 그 원인까지 밝혀 주는 정보 측정 체계.
기술적채무불이행,품사 없음,대출 원리금이 연체되지는 않았지만 대출 약정상의 다른 조건을 지키지 못하여 발생하는 디폴트 상황. 대출받은 사람이 채무 상태의 변화 따위의 중요 사실을 통보하지 않거나 진술 또는 보증 사항이 부정확하여 발생한다.
기술적추상개념,품사 없음,정보의 종류나 내용을 집약하여 간단하게 설명해 놓은 것.
기술적타당성분석,품사 없음,계획하고 있는 제품이나 용역의 생산 및 판매와 관련된 기술적 측면에 대한 전반적인 검토와 분석.
기술적특이점,품사 없음,인공 지능 기술이 진보하여 인간의 지능보다 더 뛰어난 능력을 가진 인공 지능이 출현하게 되는 시점을 이르는 말.
기술적파라미터,품사 없음,인간 생활을 유용하게 하는 기술과 관련된 프로그램을 실행할 때l 명령의 세부적인 동작을 구체적으로 지정하는 숫자나 문자 혹은 몇 개의 변수 사이에 함수 관계를 정하기 위해서 사용되는 또 다른 하나의 변수를 이르는 말.
기술적한계대체율,품사 없음,생산 변환 곡선에서 측정한l 한 재화의 생산을 한 단위 늘릴 때 포기해야 하는 다른 재화의 양. 생산 변환 곡선의 기울기로 나타낼 수 있다.
기술적한계대체율체감,품사 없음,기업이 어떤 생산 요소를 많이 투입할수록 그 생산 요소의 한 단위를 늘리는 대가로 요구되는 다른 투입 요소의 양이 점점 줄어든다는 원리.
기술적합리성,품사 없음,자연적 사물에 과학 이론을 적용하여 인간 생활에 쓸 수 있도록 가공하는 방법의 합리성을 이르는 말.
기술적환경,품사 없음,사회의 기술 수준과 기술 정보를 전달하는 체계를 통틀어 이르는 말.
기술전,명사,전투나 경기에서 상대편을 기술적으로 누르는 일.
기술전문가,품사 없음,스케이트에서l 선수가 수행한 기술에 대하여 기술적 요소와 난이도를 평가하여 심판에게 알려 주는 경기 관계자.
기술전문학교,명사,3년제 초급 중학교 졸업자를 대상으로 기술을 이끌고 나아갈 사람을 길러 내기 위한 3∼4년제의 중등 기술 교육을 하던 학교. 1959년에 인민 교육 체계가 개편되고 새로운 중등 및 고등 기술 학교 체계가 생기면서 없어졌다.
기술점,명사,레슬링에서l 선수의 공격 기술에 주는 점수. 한 가지 기술에 대하여 1~4점을 줄 수 있다.
기술정보,품사 없음,연구l 개발l 공학l 시험l 평가l 생산l 조업이나 기계의 사용과 보전에 관한 정보. 과학 정보를 포함한다.
기술정비,명사,기계에 대한 기술적 요구에 맞도록 일정한 손질을 하는 일.
기술정신의학,품사 없음,진료적 관점에서 정신 장애 진단을 다루고 정신 현상을 엄격하고 세밀하게 기술하는 것을 방법론으로 하는 정신 의학 분야.
기술제공요구,품사 없음,개방 소프트웨어 재단이 운영 체계를 확장하거나 개정하려고 할 때l 업계 각 회사에 신기술 제공을 요구하는 일.
기술제도,명사,설계자가 구상하고 설계한 어떤 물체를 실제로 만들기 위하여 도면을 그리는 일.
기술제어센터,품사 없음,컴퓨터망에서 일어날 수 있는 문제를 찾아 진단하는 데 도움을 주는 모듈화된 전자 시스템.
기술제휴,품사 없음,기업과 기업이 생산 기술이나 가공 기술 따위를 서로 제공하여 협력하는 일.
기술제휴계약,품사 없음,특허l 실용신안l 디자인l 상표 등 공업 소유권이나 노하우의 공여에 관하여 두 기업 사이에서 맺는 계약.
기술제휴라이선싱,품사 없음,한 기업이 다른 기업에 특정 기술에 대한 사용권을 일정 기간 제공하기로 하는 계약.
기술조달,품사 없음,필요한 기술을 다른 업체나 사업자로부터 구입하는 일.
기술조사,품사 없음,특정 대상을 조사할 때 단순한 사실의 모양이나l 통계적 구조l 크기나 비율l 관계의 방향 따위를 파악하는 조사. 횡단 조사l 종단 조사가 있다.
기술조작법,명사,기술 공학적 요구에 맞게 기술 수단을 조작하려고 할 때 생산자들이 지켜야 할 행동 준칙을 밝혀 놓은 것.
기술주,명사,고도의 기술이나 첨단 기술과 연관된 기업의 주식. 대표적인 하이테크 기업에는 컴퓨터l 통신l 반도체 등과 관련된 전자 공학 분야의 기업l 광섬유l 레이저 등과 관련된 전자 공학 분야의 기업l 인공 종자l 인터페론 등과 관련된 생물 공학 분야의 기업l 파인 세라믹스l 탄소 섬유 등과 관련된 신소재 분야의 기업 등이 있다.
기술주도형제품,품사 없음,높은 기술 수준과 끊임없는 기술 개발을 통해 기술적 우위를 확보해야만 경쟁력을 갖출 수 있는 제품. 아이티(IT) 관련 제품들을 예로 들 수 있다.
기술주의,명사,기술에 가치의 중심을 두는 사고방식.
기술주의자,명사,기술주의를 따르거나 주장하는 사람.
기술주의적,관·명,기술주의의 성격을 띠는. 또는 그런 것.
기술준비수준,품사 없음,특정 기술의 성숙도를 평가하거나 서로 다른 유형의 기술 성숙도를 일관되게 비교할 수 있도록 도와주는 체계적인 측정 수단. 1989년에 미국의 나사(NASA)에서 개발되었으며l 이후 미 국방부에서 추진 사업의 위험도 관리 방안으로 활용되었다.
기술중독,품사 없음,기술이 제공하는 혜택과 편안함에 길들여져l 기술 없이는 살 수 없게 된 상태를 이르는 말.
기술지,명사,어떤 분야에 필요한 기술을 다루는 잡지.
기술지대망,품사 없음,첨단 기술 도시나 단지를 건설하기 위하여 하나의 구역으로 묶어 놓은 지역. 대덕 연구 단지가 대표적이다.
기술지도사,품사 없음,기업의 기술 관련 문제에 대해 종합적으로 진단하고 자문에 응하거나 지도하는 사람.
기술지도인력,품사 없음,국내에서 활동 중인 기술 인력l 경영 전문 인력에 대한 정보를 세분화된 기술별로 분류하여 인터넷을 통해 제공함으로써 각 기관의 지도 사업에 활용하도록 하는 인력. 기술 인력이 필요한 중소기업l 지도 기관 등 누구나 손쉽게 접근하여 활용할 수 있도록 구축한 데이터베이스 시스템을 운용하고 있다.
기술지시,품사 없음,장비나 물자에 대한 작동l 정비l 설비l 정착l 탈거l 검사 및 개조에 관계되는 일시 검사l 대외 기술 지원 체제 따위에 대한 기술적인 안내와 지시l 안전 절차에 관계되는 사항을 전달하는 방법.
기술지식,품사 없음,방법에 대한 실제적 지식이나 기술상의 전문 지식.
기술지원,품사 없음,해당 부서에서 자체적으로 보유한 기술력의 부진으로 수리가 불가능한 장비가 있을 경우l 기술 부서나 수리 부서로부터 기술적인 협조를 받는 일.
기술지원협정,품사 없음,선진국 또는 국제기구가 개발 도상국의 기술 수준을 향상시키기 위해 기술적으로 원조하는 일에 관한 협정. 연수생의 훈련l 전문가의 파견l 기기나 자재의 제공l 경제 개발 지도 따위가 포함된다.
기술지원협정서,품사 없음,국내 업체와 국외 업체 사이에 기술력의 불균형으로 한 업체가 다른 업체를 기술적으로 지원해야 할 일이 있을 경우l 해당 기술을 이전하는 데에 따른 내용이나 조건을 명시한 문서.
기술지체,품사 없음,급속도로 변화하는 사회의 속도를 기술이 따라가지 못하는 일. 후진국이나 개발 도상국 따위에서 볼 수 있는 현상이다.
기술지침서,품사 없음,운용l 정비l 오버홀 및 자재나 장비의 특수 품목에 대한 검사l 장착 방식 따위에 관한 기술 안내서.
기술지표,품사 없음,생산 수단의 이용과 관리에서 반드시 지켜야 할 기술 기준을 표시하는 지표.
기술직,명사,기술 분야의 직업이나 직무.
기술직공무원,품사 없음,기술 분야의 업무에 종사하는 일반직 공무원. 공업l 광무l 농림l 물리l 보건l 선박l 수산l 시설l 통신l 항공 및 수로 등에 관련된 업무를 담당한다.
기술직원,명사,기술 분야의 일에 종사하는 직원.
기술진,명사,기술 계통의 일을 맡은 사람들로 구성된 집단.
기술집약,품사 없음,한 단위 생산물을 산출하는 데 투입된 생산 요소 중에서 기술이 차지하는 비율이 다른 생산 요소에 비해 높음.
기술집약적,품사 없음,생산에 들어가는 생산 요소 가운데 기술의 집중도가 높은. 또는 그런 것.
