어휘,품사,뜻풀이
존발하다,동사,셈 따위에서l 어떤 것을 남겨 두거나 빼어 버리다.
존방식,품사 없음,넓은 지역을 세포상으로 미세하게 분할한 후 각각에 기지국을 설치하여 주파수를 유효하게 이용하는 무선 통신 방식. 휴대 전화 및 자동차 전화에서 쓰이고 있다.
존백모,명사,남의 큰어머니를 높여 이르는 말.
존본취리,명사,돈이나 곡식 따위를 꾸어 주어l 그 본전은 남겨 두고 해마다 이자만 받음.
존본취리하다,동사,돈이나 곡식 따위를 꾸어 주어l 그 본전은 남겨 두고 해마다 이자만 받다.
존본취식,명사,삼국 시대 이후에l 각종 불교 행사 비용이나 빈민 구제 기금을 마련하기 위해 원금을 대출해 주고l 원금은 남겨 둔 채 그 이자로 자금을 운영하던 방식.
존봉,명사,존경하여 높이 받듦.
존봉하다,동사,존경하여 높이 받들다.
존부,명사,존재함과 존재하지 않음. 또는 생존함과 생존하지 않음.
존부인,명사,‘부인’의 높임말.
존불,품사 없음,문학 작품이나 정치 만화에서l 영국이나 영국인들의 특성을 나타내는 전통적인 인물. ⇒규범 표기는 미확정이다.
존불해트,품사 없음,크라운의 높이가 15cm 정도 되는 실크해트. <FL>존 불</FL>은 전형적인 잉글랜드 인을 가리키는 말로l 땅딸막한 중년의 남자가 실크 톱 해트를 쓰고 있는 모습에서 유래되었다. ⇒규범 표기는 미확정이다.
존비,명사,사회적 지위나 신분의 존귀함과 비천함.
존비귀천,명사,사회적 지위나 신분의 높음과 낮음 또는 귀함과 천함.
존비법,명사,높임법의 하나. 일정한 종결 어미를 선택함으로써 상대편을 높여 표현한다. ‘해라체’l ‘하게체’l ‘하오체’l ‘하십시오체’l ‘해체’l ‘해요체’ 따위가 있다.
존비속,명사,존속과 비속을 아울러 이르는 말.
존비트,품사 없음,숫자를 이진 부호로 밀도 높게 표현할 때 사용되는 상위 네 개의 비트. 왼쪽의 두 비트는 알파벳이나 특수 문자를 나타내기 위하여 숫자 비트와 관련지어 쓰일 수 있다.
존빈,명사,귀한 손님.
존사,명사,‘스승’을 높여 이르는 말.
존상,명사,높이 받들어 숭배함.
존상하다,동사,높이 받들어 숭배하다.
존서,명사,상대편의 편지를 높여 이르는 말.
존서답,명사,‘개짐’의 방언
존석,명사,높이 받들고 아깝게 여김.
존석하다,동사,높이 받들고 아깝게 여기다.
존성,명사,남의 성을 높여 이르는 말.
존성대명,명사,존귀한 성과 어마어마한 이름이란 뜻으로l 남의 성과 이름을 높여 이르는 말.
존성왕,명사,북두칠성을 신격화한 보살. 국토를 지켜 주고 빈궁을 구제하며 모든 소원을 성취하여 준다. 그 형상은 일정하지 않으나 보살 형상과 구름 속에 용을 한 천녀형(天女形)이 있다.
존성하다,형용사,지위 따위가 높고 세력이 왕성하다.
존소,명사,남이 보낸l 조상하는 내용의 편지를 높여 이르는 말.
존속,명사,어떤 대상이 그대로 있거나 어떤 현상이 계속됨.
존속기간,품사 없음,권리나 그 밖의 법률 따위가 유효한 기간.
존속기간만료,품사 없음,어떤 권리에 대하여l 법률에 예정되어 있는 법정 기간이 경과하여 권리가 소멸되는 일.
존속되다,동사,어떤 대상이 그대로 있거나 어떤 현상이 계속되게 되다.
존속범위,품사 없음,변수에 대하여 기억 영역이 할당되어 있는 기간. 이와 같은 할당에 의하여 변수가 값을 유지하게 되므로 할당이 해제되면 소멸되어 값이 없어진다.
존속범죄,품사 없음,자기나 배우자의 직계 존속을 상대로 한 범죄.
존속보장,품사 없음,개별 재산권자의 수중에 놓인l 재산적 가치가 있는 권리의 존속을 보장하는 일.
존속보장의원칙,품사 없음,환경 보전의 목표를 현상의 유지와 보호에 두는l 환경 정책의 원칙.
존속분할,품사 없음,하나의 회사를 여러 개의 회사로 나눌 때l 분할 전의 회사가 존속하는 분할 방식을 이르는 말.
존속살인,품사 없음,자기나 배우자의 직계 존속을 죽이는 일.
존속살인죄,품사 없음,자기나 배우자의 직계 존속을 죽임으로써 성립하는 범죄. 책임이 무겁기 때문에 형을 가중한다.
존속살해,품사 없음,자기나 배우자의 직계 존속을 죽이는 일.
존속살해죄,품사 없음,자기나 배우자의 직계 존속을 죽임으로써 성립하는 범죄. 책임이 무겁기 때문에 형을 가중한다.
존속상해,품사 없음,자기나 배우자의 직계 존속에게 상해를 입히는 일.
존속상해죄,품사 없음,자기나 배우자의 직계 존속에게 상해를 입힘으로써 성립하는 범죄.
존속선,명사,사라지지 않고 남아 있는 스펙트럼선. 원소에 의해 나타나는 스펙트럼선이 농도 감소 시에도 사라지지 않고 지속적으로 남아 있는 것을 이른다.
존속성,명사,어떤 대상이 그대로 있거나 어떤 현상이 계속되는 성질.
존속중상해,품사 없음,자기나 배우자의 직계 존속에게 중상해를 입히는 일.
존속중상해죄,품사 없음,자기나 배우자의 직계 존속에게 중상해를 입힘으로써 성립하는 범죄.
존속친,명사,부모 또는 그와 같은 항렬 이상에 속하는 친족.
존속폭행,품사 없음,자기나 배우자의 직계 존속의 신체에 대하여 폭행을 가함.
존속폭행죄,품사 없음,자기나 배우자의 직계 존속의 신체에 대하여 폭행을 가함으로써 성립하는 범죄.
존속하다,동사,어떤 대상이 그대로 있거나 어떤 현상이 계속되다.
존속학대죄,품사 없음,자기나 배우자의 직계 존속을 학대함으로써 성립하는 죄.
존속협박죄,품사 없음,자기나 배우자의 직계 존속을 협박함으로써 성립하는 죄.
존속형,명사,어떤 대상이 그대로 있거나 어떤 현상이 계속되는 유형.
존속회사,품사 없음,회사가 흡수ㆍ합병된 후에도 존속하는 회사. 정관을 변경하고 소멸 회사의 권리와 의무를 승계한다.
존수,명사,존중하여 지킴.
존수하다,동사,존중하여 지키다.
존숙,명사,학문과 덕행이 뛰어나 남의 본보기가 될 만한 승려. 또는 절의 주지.
존숙모,명사,남의 작은어머니를 높여 이르는 말.
존숭,명사,높이 받들어 숭배함.
존숭도감,명사,왕이나 왕비에게 존호를 올리게 된 때에 두던 임시 관아.
존숭도감의궤,명사,조선 시대에l 왕이나 왕비에게 존호를 올리는 절차와 의식에 관해 기록한 책. 현재 68종이 남아 있다.
존숭악장,품사 없음,태상왕l 대왕대비l 임금l 왕비 등의 아름다운 덕을 기리던 악장.
존숭하다,동사,높이 받들어 숭배하다.
존스,명사,이니고 존스l 영국의 건축가(1573~1652). 이탈리아와 프랑스에서 고대 건축을 배웠으며l 제임스 일세 때에 공사 총감독을 지냈다. 이탈리아식 고전주의를 건축 양식에 도입하여 각종 건축물과 기구l 공예품에 변화를 가져왔다. 대표적 건축물로 화이트홀 궁전 연회장이 있다.
존스다항식,품사 없음,끈 이론에서 끈의 모양을 통해 구하는 다항식. 끈과 자신의 거울상을 구별할 수 있는 것이 특징이다. ⇒규범 표기는 미확정이다.
존스리,품사 없음,존 1l 존 2 거리 계전기가 작동하지 않는 범위의 보호 구간과 이들 계전기의 오부작동(誤不作動) 시 후비 보호가 되는 구간. 일반적으로 보호 구간의 22.5%까지이며 시간 협조로 약 100%의 지연 작동을 한다.
존스벡터,품사 없음,빛의 편광 상태를 나타내는 벡터. 오직 편광된 빛만 나타낼 수 있다. ⇒규범 표기는 미확정이다.
존스시약,품사 없음,크롬산ㆍ황산 용액으로 알코올을 카르보닐 화합물에 산화하는 반응에 이용되는 시약. 일급 알코올은 카르본산에까지 산화된다. ⇒규범 표기는 미확정이다.
존스쿨,품사 없음,성(性) 구매 초범 남성이 기소 유예를 조건으로 하루에 8시간 동안 재범 방지 교육을 받는 프로그램.
존스쿨교육,품사 없음,성(性) 구매 초범 남성이 기소 유예를 조건으로 하루에 8시간 동안 받는 재범 방지 교육. 우리나라에서는 2005년에 처음 실시하였다.
존스타운,명사,미국 펜실베이니아주 서남부에 있는 공업 도시. 피츠버그를 중심으로 한 철강 공업 지대의 일부이며l 탄전 지대가 있다.
존스턴기관,품사 없음,곤충의 촉각 제2절인 경절(脛節)에 있는 특수한 기계적 수용기(受容器). 평형을 유지하거나 기계적인 진동 및 소리를 감지하는 기관의 하나로l 특히 쌍시목(雙翅目) 곤충의 수컷에 발달하였다.
존스턴섬,명사,태평양 중부l 호놀룰루 서남쪽에 있는 미국령 환초(環礁). 두 개의 작은 섬으로 이루어져 있으며l 미국 해군 기지가 있다. 면적은 1.3㎢.
존스행렬,품사 없음,입사광의 편광을 변환시키는 렌즈나 지연자 따위의 변환 행렬. 입사광의 <FL>존스 벡터</FL>에 곱하면 출사광의 <FL>존스 벡터</FL>를 구할 수 있다. ⇒규범 표기는 미확정이다.
존스홉킨스대학교,품사 없음,미국 메릴랜드주 볼티모어에 있는 사립 종합 대학교. 1876년에 개교하였으며l 의학ㆍ공공 보건ㆍ국제학ㆍ음악 분야에서 명성이 높다. ⇒규범 표기는 미확정이다.
존슨,명사,벤 존슨l 영국의 시인ㆍ극작가(1572~1637). 풍자극 <사람마다 다른 기질>을 성공적으로 상연하여 기질(氣質) 희극의 선구자가 되었으며l 초대 계관 시인의 대우를 받았다. 작품에 <여우>l <말 없는 여자>l <연금술사> 따위가 있다.
존슨규칙,품사 없음,두 곳의 작업장에서 여러 개의 작업을 수행하는 흐름 공정에서 최적의 일정 계획을 수립하는 규칙. 이 규칙은 작업장이 두 곳일 때에만 적용할 수 있으며l 모든 주문에 대해 필요한 기계별 가공 시간을 바탕으로 총 작업 소요 시간을 최소화하는 일정 계획을 수립하는 데 사용된다.
존슨밸브,품사 없음,수차의 입구 밸브로 사용되는 바늘 모양의 밸브. ⇒규범 표기는 미확정이다.
존슨의포물선공식,품사 없음,단주(短柱)와 중간 주의 좌굴이 생길 때의 수직 응력도 공식. ⇒규범 표기는 미확정이다.
존슨입체,품사 없음,볼록 다면체의 각 면이 정다각형이고 대칭성을 가지지 않은 다면체. ⇒규범 표기는 미확정이다.
존슨테스트,품사 없음,운동 학습 능력을 측정하는 방법의 하나. 체육 실기를 지도하기 위하여 학습자들의 능력에 따라 집단을 분류하기 위해 고안한 검사 방법으로l 매트 위에서 하는 열 가지의 종목을 측정한다. 각 종목에 10점씩 배점하며l 종목에 대해 벌점을 1점씩 적용하여 채점한다. 총 점수는 100점이다. 미국의 학자 <FL>존슨</FL>(Johnsonl M.)이 개발하였다. ⇒규범 표기는 미확정이다.
존승다라니,명사,존승불정의 공적을 풀이한 다라니. 이 다라니를 외어 지니면 오래 살고l 병과 재난이 없어지며 몸과 마음이 편해진다고 한다. 모두 87구(句)로 되어 있다.
존승법,명사,천태종과 진언종의 수법(修法) 가운데 하나. 존승불정을 본존으로 하고l 존승다라니를 외면서 온갖 번뇌가 없어지기를 기원한다.
존승불정,명사,불정존(佛頂尊) 가운데 으뜸이라는 뜻으로l 존승다라니의 본존을 이르는 말.
존승호마,명사,밀교에서l 존승불정을 본존으로 하고l 불을 피우면서 기도하는 수행법.
존시,명사,나이가 많은 웃어른과 나이가 적은 아랫사람.
존시간,명사,나이가 많은 사람과 나이가 적은 사람과의 사이. 주로 20세 정도의 차이가 있을 때에 쓴다.
존신,명사,존경하여 믿음.
존신하다,동사,존경하여 믿다.
존심,명사,마음에 새겨 두고 잊지 아니함.
존심하다,동사,마음에 새겨 두고 잊지 아니하다.
존십진상수,품사 없음,<FL>언팩</FL> 형태의 십진 상수. 1바이트 내의 비트가 존 비트와 <FL>디지트 비트</FL>로 구성된 십진 숫자이다.
존십진수,품사 없음,십진 한 자리를 1바이트로 표시하고l 맨 오른쪽 1바이트의 존 부분에 부호를 표시하는 데이터 형식.
존십진수형식,품사 없음,한 바이트에 십진수 한 자리를 표현하는 형식. 왼쪽 네 비트에는 존을 표시하고l 오른쪽 네 비트에는 비시디로 표시한다.
존안,명사,없애지 아니하고 보존하여 둠. 또는 그런 문건이나 안건.
존안건,명사,없애지 아니하고 보존하여 둠. 또는 그런 문건이나 안건.
존안하다,동사,없애지 아니하고 보존하여 두다.
존앙,명사,존경하여 우러러봄.
존앙하다,동사,존경하여 우러러보다.
존양,명사,본심을 잃지 않도록 착한 성품을 기름.
존양지의,명사,실속이 없는 허례(虛禮)나 구례(舊禮)를 짐짓 버리지 않고 그냥 둠.
존언,명사,조선 시대에l 정제두가 쓴 책. 조선의 양명학을 대표하는 책이다.
존엄,명사,인물이나 지위 따위가 감히 범할 수 없을 정도로 높고 엄숙함.
존엄사,명사,인간으로서 지녀야 할 최소한의 품위를 지키면서 죽을 수 있게 하는 행위. 또는 그런 견해. 의사는 환자의 동의 없이 원칙적으로 치료 행위를 할 수 없다는 것으로l 소극적 안락사라고도 한다. 칼렌 앤 퀸런의 치료 중단을 요구한 부모의 주장을 인정한 재판에서 생겨난 말이다.
존엄사법,명사,호스피스ㆍ완화 의료와 임종 과정에 있는 환자의 연명 의료와 연명 의료 중단 등에 대한 결정 및 그 이행에 필요한 사항을 규정한 법. 정식 명칭은 ‘호스피스ㆍ완화 의료 및 임종 과정에 있는 환자의 연명 의료 결정에 관한 법률’이다.
존엄성,명사,감히 범할 수 없는 높고 엄숙한 성질.
존엄왕,명사,‘필리프 이세’의 다른 이름.
존엄하다,형용사,인물이나 지위 따위가 감히 범할 수 없을 정도로 높고 엄숙하다.
존엄히,부사,인물이나 지위 따위가 감히 범할 수 없을 정도로 높고 엄숙하게.
존영,명사,남이 지은 시와 노래를 높여 이르는 말.
존영하다,형용사,지위가 높고 영화롭다.
존옹,명사,존귀한 남자 노인이라는 뜻으로l 남의 부친을 높여 이르는 말.
존왕양이,명사,왕실을 높이고 오랑캐를 물리침.
존외,명사,공경하면서 두려워함.
존외하다,동사,공경하면서 두려워하다.
존용,명사,남의 얼굴 모양을 높여 이르는 말.
존용융법,품사 없음,불순물이 포함된 물질에서 순수한 단결정을 정제하는 방법의 하나. 결정체의 일부만 녹여서 녹은 부분을 옮길 때l 불순물이 함께 끝부분으로 밀려나는 작용을 이용한다.
존우,품사 없음,외국 프로 레슬링에서l 상대가 링의 모서리 쪽에 서 있을 때l 상대에게 달려가 점프하며 두 발로 상대의 가슴을 쳐서 상대를 쓰러뜨리는 기술. ⇒규범 표기는 미확정이다.
존원,품사 없음,반향 거리 계전 방식 중 단계 한시 거리 계전 방식에서l 한시 계전기 없이 계전기 작동에 의해서만 순시 보호가 되는 구간. 일반적으로 보호 구간의 85%로 한다.
존위,명사,높고 귀한 자리. 또는 그 자리에 앉은 사람.
존의,명사,남의 뜻이나 의견을 높여 이르는 말.
존이불론,명사,그대로 내버려 두고 이러니저러니 따지지 아니함.
존이불론하다,동사,그대로 내버려 두고 이러니저러니 따지지 아니하다.
존일,부사,남에게 사정할 때에 제발 빈다는 뜻으로 이르는 말. ⇒규범 표기는 ‘조닐로’이다.
존자,명사,학문과 덕행이 뛰어난 부처의 제자를 높여 이르는 말.
존자진한잎,명사,국악에서l 매우 빠른 국악 가곡의 하나.
존작,명사,높은 벼슬이나 지위.
존장,명사,지위가 자기보다 높은 사람을 높여 이르는 말.
존장치다,동사,‘뺨치다’의 방언
존재,명사,현실에 실제로 있음. 또는 그런 대상.
존재가치,품사 없음,환경재가 공급하는 경제적 가치 가운데 실제적이거나 잠재적인 이용과는 관계없이 단순히 환경재가 존재한다는 것만으로 발생하는 가치.
존재감,명사,사람l 사물l 느낌 따위가 실제로 있다고 생각하는 느낌.
존재권,명사,존재할 수 있는 권리. 또는 생존할 수 있는 권리.
존재근거,품사 없음,존재의 근거가 되는 원인이나 이유.
존재기호,품사 없음,‘적어도 하나 존재함’을 의미하는 기호. ‘<img style=vertical-align: middle; src='https://opendic.korean.go.kr/JSP/formula.jsp?latex=%5Cexists'>’로 표기한다.
존재기획,품사 없음,타인의 주목을 끌어서 본인의 존재를 타인에게 알리려는 계획.
존재녹지,명사,도시에 사는 사람들이 간접적으로 혜택을 받을 수 있는 녹지대. 산림이나 근교 농업 지대 따위이다.
존재도,명사,각 원소에 대한 원자 번호는 같으나 질량수가 서로 다른 원소별 존재량.
존재론,명사,존재 또는 존재의 근본적ㆍ보편적인 모든 규정을 연구하는 학문.
존재론자,명사,존재론을 믿거나 주장하는 사람.
존재론적,관·명,존재론에 관한. 또는 그런 것.
존재론적관점,품사 없음,작품의 내적 기준에 의하여 문학 작품을 평가하는 방법. 문학의 내재성을 존중하며l 작품을 작가l 독자 등 주위 세계로부터 독립된 자율적 존재로 보는 입장이다.
존재론적분석,품사 없음,현재 상황에 초점을 두고l 자유 의지와 개인의 선택ㆍ행위ㆍ판단을 강조하는 심리 요법. 실존주의 사상을 배경으로 하고 있으며l 어떤 지적인 해석이나 설명을 피한다.
존재론적은유,품사 없음,은유의 유형 가운데 하나. 추상적이고 관계적인 실재물을 사물로 여기는 개념적 전이와 연관된 은유 현상이다. “감정은 실체이다.”와 같은 은유를 통하여 ‘감정’을 지속적이며 움직이는 사물인 ‘실체’로 간주하게 되는 것이 그 예이다.
존재론적증명,품사 없음,신의 존재를 증명하는 방법의 하나. 신은 완전하며 그 완전성 안에는 존재라는 성질도 포함되어야 하고l 그것이 포함되어 있지 않다면 완전성이 결여된 셈이므로 신은 존재해야만 한다는 논법이다.
존재명제,품사 없음,존재 판단을 말로 나타내는 명제. 일반적으로 ‘X가 존재한다.’l ‘X가 있다.’와 같은 구조를 가진다.
존재물,명사,실제로 있는 것.
존재법칙,품사 없음,사물을 존재하게 하는 법칙.
존재비,명사,각 원소에 함유된 동위 원소의 비율을 표시한 값. 원소별로 각각의 동위 원소에 대한 원자 수의 비를 퍼센트로 나타낸다.
존재사,명사,존재의 뜻을 나타내는 품사. 현행 학교 문법에서는 이를 독립된 품사로 인정하지 않고 동사나 형용사에 분속하고 있다. 예를 들어l ‘있다’는 존재의 뜻을 나타낼 때에는 동사에l 소유의 뜻을 나타낼 때에는 형용사에 분속한다. ‘없다’l ‘계시다’ 따위가 있다.
존재설,명사,현실에 실제로 있다는 견해나 주장.
존재성,명사,존재하는 특성.
존재 양식,품사 없음,현실에 실제로 있는 모양이나 형식.
존재양화사,품사 없음,‘적어도 하나의’l ‘어떤’을 표현하는 양화사. 기호 ‘∃’로 표현되며l ‘어떤’으로 해석된다. 예를 들어 ‘∃x’는 ‘어떤 x에 대하여’ 또는 “어떤 x가 적어도 하나는 존재한다.”로 해석된다.
존재양화표현,품사 없음,‘적어도 하나의’l ‘어떤’을 표현하는 양화사. 기호 ‘∃’로 표현되며l ‘어떤’으로 해석된다. 예를 들어 ‘∃x’는 ‘어떤 x에 대하여’ 또는 “어떤 x가 적어도 하나는 존재한다.”로 해석된다.
존재와 무,품사 없음,사르트르가 쓴 철학서. 존재의 탐구를 서론으로 무(無)의 문제l 대자(對自) 존재l 대타(對他) 존재 따위로 되어 있는 논문 형식의 작품으로l 무신론적 실존주의 사상을 체계적으로 논술하였다. 1943년에 간행하였다.
존재와 시간,품사 없음,하이데거가 쓴 철학서. 아리스토텔레스 이래의 전통적인 존재론을 부정하고l 존재 일반의 의미를 인간의 일상적인 존재의 방식에서 탐구하여 죽음에로의 존재를 자각하고 무(無)에 직면하는 것에 의하여 본래적 자아에 이른다고 하여 실존 철학의 전개에 중요한 영향을 끼쳤다. 1927년에 간행하였다.
존재외,명사,존재l 비존재의 규정 밖에 있는 것. 마이농이 정신 작용의 대상이 되는 것의 본질(本質)을 연구하는 대상론(對象論)에서 쓴 용어이다.
존재응력,품사 없음,구조 부재 또는 접합부에 외력이 작용하였을 때l 그 외력에 저항하여 물체의 형태를 그대로 유지하려고 하는 저항력.
존재의거대한고리,품사 없음,철학사에서 신플라톤주의가 내세운 개념으로l 모든 실재는 신으로부터 발생하여 결국 신에게 다시 되돌아가고 이 순환 고리 속에 포함된 모든 요소들은 각기 다른 서열을 지닌 채 계층적으로 이루어져 있다는 개념. 세상에 실재하는 만물은 신이 정한 위계적 질서에 따라 배열되어 있으며l 이에 의하여 만물은 결합되어 있다는 것이다.
존재의거대한사슬,품사 없음,철학사에서 신플라톤주의가 내세운 개념으로l 모든 실재는 신으로부터 발생하여 결국 신에게 다시 되돌아가고 이 순환 고리 속에 포함된 모든 요소들은 각기 다른 서열을 지닌 채 계층적으로 이루어져 있다는 개념. 세상에 실재하는 만물은 신이 정한 위계적 질서에 따라 배열되어 있으며l 이에 의하여 만물은 결합되어 있다는 것이다.
존재의고리,품사 없음,철학사에서 신플라톤주의가 내세운 개념으로l 모든 실재는 신으로부터 발생하여 결국 신에게 다시 되돌아가고 이 순환 고리 속에 포함된 모든 요소들은 각기 다른 서열을 지닌 채 계층적으로 이루어져 있다는 개념. 세상에 실재하는 만물은 신이 정한 위계적 질서에 따라 배열되어 있으며l 이에 의하여 만물은 결합되어 있다는 것이다.
존재의대연쇄,품사 없음,철학사에서 신플라톤주의가 내세운 개념으로l 모든 실재는 신으로부터 발생하여 결국 신에게 다시 되돌아가고 이 순환 고리 속에 포함된 모든 요소들은 각기 다른 서열을 지닌 채 계층적으로 이루어져 있다는 개념. 세상에 실재하는 만물은 신이 정한 위계적 질서에 따라 배열되어 있으며l 이에 의하여 만물은 결합되어 있다는 것이다.
존재의연쇄,품사 없음,자연의 여러 가지 구성 요소는 그 완전함의 정도에 따라 일직선상에 끊임없이 배열된다고 하는 사상.
존재일반화,품사 없음,양화 논리학에서l 집단 X에서 임의로 선택한 개체 a가 어떤 판단에 대하여 참일 경우l 이를 통해 특칭 명제를 도출하는 것을 이르는 말.
존재작용소,품사 없음,<FL>조인</FL> 연산에서 존재 조건의 만족 여부를 검사하는 데 쓰이는 수식어.
존재적,관·명,존재론에 관한. 또는 그런 것.
존재적전제,품사 없음,‘나폴레옹’이나 ‘워털루’처럼 지시 표현이 존재 그 자체를 가리키는 것. 실제 있는 형태들의 공간이나 시간l 역사적 위치를 포함하는 시간l 도시나 인물들을 이른다.
존재정량자,품사 없음,<FL>조인</FL> 연산에서 존재 조건의 만족 여부를 검사하는 데 쓰이는 수식어.
존재정리,품사 없음,문제의 풀이가 존재하기 위한 조건들을 밝혀 증명된 명제.
존재종속성,품사 없음,어떤 <FL>엔티티</FL>가 다른 <FL>엔티티</FL>의 존재에 의존하는 성질. 의존 대상인 <FL>엔티티</FL>가 삭제되면 종속적인 <FL>엔티티</FL>도 삭제되어야 한다.
존재즉피지각,품사 없음,정신과 그 정신의 소유인 관념만 존재하고l 그 이외의 물질적인 실체는 전혀 존재하지 아니한다는l 주관적 관념론을 대표하는 명제. 로크의 사상을 발전시킨 버클리의 주장으로l 감각적인 사물의 존재는 지각(知覺)되는 것에 불과하므로 개개의 물체는 심리적인 표상의 결합이라는 것이다.
존재철학,품사 없음,존재 또는 존재의 근본적ㆍ보편적인 모든 규정을 연구하는 학문.
존재판단,품사 없음,어떤 사물이나 대상의 존재 여부에 관한 판단. ‘산이 있다.’l ‘강이 없다.’라는 형식으로 어떤 대상이나 사물이 있는가 없는가에 대하여 판단한다.
존재폐쇄,품사 없음,모든 변수가 정량자에 의해 한정되지 않은 우량 형식에 대하여 모든 변수를 존재 정량자에 의해 한정되게 만드는 일.
존재하다,동사,현실에 실재하다.
존재학,명사,존재 또는 존재의 근본적ㆍ보편적인 모든 규정을 연구하는 학문.
존재한정기호,품사 없음,‘적어도 하나 존재함’을 의미하는 기호. ‘<img style=vertical-align: middle; src='https://opendic.korean.go.kr/JSP/formula.jsp?latex=%5Cexists'>’로 표기한다.
존재할가능성이있는불순물,품사 없음,이론적으로 제조 또는 보관 중에 발생될 수 있는 불순물. 신규 원료 의약품에 실제로 나타날 수도 있고l 그렇지 않을 수도 있다.
존재해석,품사 없음,정언 판단 가운데 전칭 판단이 주사(主辭)가 가리키는 대상이 존재함을 의미상 포함하고 있다고 보는 입장.
존재형용사,품사 없음,사물의 존재를 나타내는 형용사. ‘있다’l ‘없다’l ‘계시다’ 따위이다.
존저,명사,남겨서 모음.
존저하다,동사,남겨서 모으다.
존전,명사,신불(神佛)이나 존귀한 사람의 앞.
존전집,명사,중국 후오대(後五代)의 사(詞)를 모은 선집(選集). 후오대의 사인(詞人) 38가(家) 290수를 수록하였다. ≪화간집(花間集)≫과 함께 후오대 사집(詞集)의 쌍벽을 이룬다. 2권.
존절,명사,알맞게 절제함.
존절하다,동사,알맞게 절제하다.
존절히,부사,알맞게 절제하는 데가 있게.
존정제,품사 없음,반도체 제조 과정에서 잉곳의 불순물 농도를 완화시키는 일. 고체층의 용융 영역을 한쪽부터 조금씩 녹이면서 반대쪽으로 옮기면l 새로 녹는 부분에는 불순물이 나오고 다시 굳는 부분에는 순수한 물질이 모인다. 이 과정을 여러 번 실시하여 불순물이 모인 곳을 제거한다.
존정제법,품사 없음,반도체 제조 과정에서 잉곳의 불순물 농도를 완화시키는 방법. 고체층의 용융 영역을 한쪽부터 조금씩 녹이면서 반대쪽으로 옮기면l 새로 녹는 부분에는 불순물이 나오고 다시 굳는 부분에는 순수한 물질이 모인다. 이 과정을 여러 번 실시하여 불순물이 모인 곳을 제거한다.
존제산,명사,전라남도 보성군 벌교읍과 율어면에 걸쳐 있는 산. 북쪽 자락에 보성 유신리 마애여래 좌상이 있다. 높이는 712미터.
존조,명사,남의 사진이나 화상 따위를 높여 이르는 말.
존조리,부사,잘 타이르듯이 조리 있고 친절하게.
존족,명사,높고 귀한 족속.
존족산,명사,인도 중부의 마가다 왕국 가야성(伽倻城) 동남쪽에 있는 산. 마하가섭이 입적한 곳으로l 세 봉우리가 나란히 솟아 마치 닭의 발과 같아서 지어진 이름이다.
존존,품사 없음,‘존존하다’의 어근.
존존하다,형용사,천을 짠 실의 가락 따위가 잘고 곱다.
존존히,부사,천을 짠 실의 가락 따위가 잘고 곱게.
