어휘,품사,뜻풀이
ㄱ자턱솔홈,명사,건물이나 기물을 만들 때l ‘ㄱ’ 자 모양의 촉을 끼우기 위하여 낸 홈. 나무나 돌 따위를 이을 부분에 만든다.
ㄱ자홈,명사,건물이나 기물을 만들 때l ‘ㄱ’ 자 모양의 촉을 끼우기 위하여 낸 홈. 나무나 돌 따위를 이을 부분에 만든다.
가,명사,경계에 가까운 바깥쪽 부분.
가가,명사,주로 편지에서l 스스로 생각하여도 우습다는 뜻으로 이르는 말.
가가다,동사,‘가져가다’의 방언
가가대소,명사,소리를 내어 크게 웃음.
가가대소하다,동사,소리 내어 크게 웃다.
가가득제,명사,윷점을 쳐서 나온 점괘의 하나. 형이 동생을 만난다는 뜻으로l 집안에 동생이 태어나거나 사회에서 나를 따르는 무리가 생김을 이른다.
가가례,명사,각 집안에 따라 달리 행하는 예법ㆍ풍속 따위.
가가린,명사,유리 알렉세예비치 가가린l 소련의 군인ㆍ우주 비행사(1934~1968). 1961년 인공위성인 보스토크 1호를 타고 지구를 일주함으로써 인류 최초로 우주 비행에 성공하였다.
가가문전,명사,집집마다의 문 앞.
가가미이시,명사,일본 후쿠시마현(福島縣) <FL>이와세군</FL>에 있는 정. <FL>이와세군</FL>의 동부에 위치해 있으며l 서쪽의 주거지를 제외한 대부분의 지역에 농경지가 넓게 형성되어 있다. 농업ㆍ목축업이 활발하다. ⇒규범 표기는 미확정이다.
가가미이시정,명사,일본 후쿠시마현(福島縣) <FL>이와세군</FL>에 있는 정. <FL>이와세군</FL>의 동부에 위치해 있으며l 서쪽의 주거지를 제외한 대부분의 지역에 농경지가 넓게 형성되어 있다. 농업ㆍ목축업이 활발하다. ⇒규범 표기는 미확정이다.
가가방,명사,‘가겟방’의 원말.
가가붓자식,명사,‘각아비자식’의 방언
가가비,명사,‘개구리’의 방언
가가비새끼,명사,‘올챙이’의 방언
가가성부갑상선기능저하증,품사 없음,‘거짓 거짓 부갑상샘 기능 저하증’의 전 용어.
가가성자,명사,성문 사과(聲聞四果)에서l 일래과를 얻기 위하여 수행하는 성인.
가가시,부사,‘가까스로’의 방언
가가와 도요히코,품사 없음,일본의 목사ㆍ사회사업가(1888~1960). 가난을 기독교적 사랑의 힘으로 해결하고자 노력하였으며l 문필에도 능하였다. 자신의 체험기인 ≪사선(死線)을 넘어서≫ 따위를 남겼다.
가가와현,명사,일본 시코쿠(四國) 지방 북동부에 있는 현. 기후는 온난하며 강수량이 적다. 주요 산업은 농업으로l 양상추l 감귤l 포도l 잎담배 따위가 많이 난다. 현청 소재지는 다카마쓰l 면적은 1l875㎢.
가가하다,형용사,잘되었거나 착하다고 여길 만하다.
가가호호,명사,한 집 한 집.
가각,품사 없음,‘가각하다’의 어근.
가각고,명사,고려 말기ㆍ조선 초기에l 문서의 보존과 관리를 맡아보던 관아. 고려 충렬왕 6년(1280) 이전에 설치하였다가 조선 세조 14년(1468)에 없앴다.
가각본,명사,개인이 발행한 책.
가각하다,형용사,인정이 없고 모질다.
가각히,부사,모질고 인정 없이.
가각?다,형용사,‘급하다’의 옛말.
가간,명사,온 집안.
가간균,명사,미생물과 비슷한l 대단히 작은 막대 모양의 기형 적혈구.
가간사,명사,살림을 꾸려 나가면서 하여야 하는 여러 가지 일.
가간섭광,명사,간섭을 일으킬 수 있는l 결이 잘 맞는 빛.
가간섭성,명사,두 파동의 진동수가 같고 위상차가 일정하여 서로 간섭을 일으킬 수 있는 성질.
가간섭성공간,품사 없음,전파 방향에 수직인 평면상에서 빛이 충분히 가간섭성이라고 할 수 있는 영역. 일반적으로 가간섭성도가 0.88 이상인 공간을 가리킨다.
가간섭성광,품사 없음,복수 개의 파장을 갖는 빛의 파동인 복수 광파(光波)의 위상과 주파수가 같은 광파. 통신에 이용하며l 레이저광이나 홀로그래피는 가간섭성의 발진기를 사용하여 특별히 이것을 생성하여 이용하는 것이다.
가간섭성광파전송,품사 없음,광파의 가간섭성을 이용하여 빛의 주파수나 위상에 신호를 실어서 전송하는 방식. 빛의 강약에 따른 종래의 강도 변조 광섬유 전송 방식보다 고속이며 대용량 전송이 가능하다.
가간섭성길이,품사 없음,광원에서 나오는 빛의 위상(位相)이 공간적으로나 시간적으로 고른 성질의 가간섭성을 가진 상태로 전파되는 길이.
가간섭성도,명사,두 전자기파의 가간섭성의 정도. 이것이 크면 간섭무늬가 선명해지는데l 이것을 정량적으로 나타내는 방법은 여러 가지이다.
가간섭성반스토크스ㆍ라만분광법,품사 없음,라만 효과에서l 분자의 진동수를 구하는 라만 분광법의 하나. 라만 활성 매질에 고정성과 가변성을 띠는 두 레이저 광선을 입사시키고l 이들의 결합으로 얻어지는 반(反)스토크스 방사의 스펙트럼을 측정한다.
가간섭성방사,품사 없음,방사되는 광파가 공간적l 시간적으로 일정한 위상 관계를 이루는 형태의 방사.
가간섭성변조,품사 없음,반송파 위상을 특성화하는 순간과 변조된 신호의 유의 상태 사이의 관계가 결정되어 있는 불연속적 시간 신호에 의한 변조.
가간섭성시간,품사 없음,전파되는 광선이 가간섭성을 가지고 있는 시간. 가간섭성 길이를 매질 중의 빛의 위상 속도로 나눈 값과 대략 일치한다.
가간섭성신호처리,품사 없음,신호의 크기와 위상을 이용하는 반향 신호의 적분l 여과l 검출 따위를 하는 일.
가간섭성유의순간,품사 없음,병렬 전송에서l 동일한 문자 신호 요소가 모든 채널에서 시작되는 유의 순간.
가간섭성이동목표물표시,품사 없음,이동 목표물의 도플러 주파수와l 가간섭성 발진기로 구동되는 기준 국부 주파수를 비교하여 이동 목표물을 표시하는 레이더 시스템.
가간집물,명사,집에 놓고 쓰는 온갖 살림 도구.
가간헐맥,명사,심실의 수축이 약하기 때문에 때때로 간헐성을 보이는 맥박.
가갈레비연,명사,‘가오리연’의 방언
가감,명사,더하거나 빼는 일. 또는 그렇게 하여 알맞게 맞추는 일.
가감계산기,품사 없음,혈액의 특정 단위량 속에 함유되어 있는 적혈구l 백혈구 및 혈소판의 수치를 전기적으로 계수하여 산출하는 장치.
가감되다,동사,더해지거나 빼지다. 또는 더해지거나 빼져서 알맞게 맞추어지다.
가감례,명사,형벌을 더하거나 덜어야 할 경우에l 그 정도와 순서에 기준이 되는 원칙.
가감법,명사,덧셈과 뺄셈을 하는 방법.
가감변,명사,기계나 기관으로 들어가는 가스ㆍ증기 따위의 흐름을 조절하는 판. ⇒규범 표기는 ‘가감판’이다.
가감부득,명사,더할 수도 덜 수도 없음.
가감산,명사,덧셈과 뺄셈을 아울러 이르는 말.
가감산기,명사,가산기로도 작동하고 감산기로도 작동하는 장치.
가감산기구,품사 없음,가산기로도 작동하고 감산기로도 작동하는 장치.
가감산시간,품사 없음,덧셈과 뺄셈을 모두 할 수 있는 논리 회로를 이용하여 연산하는 데 소요되는 시간. 읽기나 기록에 소요되는 시간은 포함되지 않는다.
가감산율,명사,토지나 선박의 시가 표준액을 결정할 때l 토지나 선박의 구체적인 특성을 고려하여 더하거나 빼고 계산하는 일정한 비율.
가감성,명사,‘과감성’의 방언
가감소거법,품사 없음,두 개 이상의 미지수를 가진 연립 방정식에서 한 미지수의 계수를 곱셈이나 나눗셈을 써서 같게 만든 후l 더하거나 빼어 그 미지수를 없애는 방법.
가감속,명사,속도를 더하거나 줄임. 또는 그 속도.
가감순서,품사 없음,범죄의 정상(情狀)에 따라 형벌을 더하거나 덜어 줄 사유가 여럿이 있을 경우에l 그것을 적용하는 순서.
가감승제,명사,덧셈l 뺄셈l 곱셈l 나눗셈을 아울러 이르는 말.
가감승합제,명사,덧셈과 뺄셈과 곱셈을 써서 풀게 되어 있는 문제.
가감시럽다,형용사,‘과감스럽다’의 방언
가감시리,부사,‘과감스레’의 방언
가감역,명사,조선 시대에l 선공감에서 토목 영선(營繕)을 맡아보던 종구품의 임시직.
가감역관,명사,조선 시대에l 선공감에서 땅과 하천 따위를 고쳐 만드는 공사와 건축물을 새로 짓거나 수리하는 일을 맡아보던 종구품의 임시직.
가감은휘,명사,주로 종친과의 혼인을 꺼려l 나이 따위를 실제보다 더하거나 줄이거나 하여 숨기는 일.
가감인덕터,품사 없음,전류가 흐르고 있는 상태에서 전류의 값을 변화시킬 수 있는 인덕터.
가감저항기,품사 없음,저항값을 일정한 범위 안에서 변화하게 하는 저항기. 저항체에 대하여 이동할 수 있는 접점을 한쪽 단자(端子)로 하여 저항체의 다른 쪽 끝 단자 사이의 범위를 변동하게 함으로써 저항값을 변화하게 한다. 미끄럼 저항기가 있다.
가감저항조절기,품사 없음,계기의 밝기를 조절하는 스위치. 게이지 확인이 가능하다.
가감적신분,품사 없음,신분이 없어도 범죄는 성립하지만 신분에 따라 형이 무거워지거나 가벼워지는 경우를 이르는 말.
가감죄례,명사,형벌을 더하거나 덜어야 할 경우에l 그 정도와 순서에 기준이 되는 원칙.
가감지인,명사,맡은 일을 넉넉히 감당할 만한 사람.
가감축전기,품사 없음,전극(電極)을 움직여 용량의 크기를 변화하게 할 수 있는 축전기. 라디오 수신기나 측정용 표준기(標準器) 따위에 쓴다.
가감판,명사,기계나 기관으로 들어가는 가스ㆍ증기 따위의 흐름을 조절하는 밸브.
가감 폭,품사 없음,더하거나 빼는 폭이나 범위.
가감하다,동사,더하거나 빼다. 또는 더하거나 빼서 알맞게 맞추다.
가감합제,명사,덧셈과 뺄셈을 써서 풀게 되어 있는 문제.
가감형,명사,법률에서 정한 형보다 무겁게 하거나 가볍게 매긴 형.
가감혼합산,품사 없음,덧셈과 뺄셈이 섞여 있는 계산.
가감히,부사,‘과감히’의 방언
가갑다,형용사,‘가볍다’의 방언
가갓방,명사,‘가겟방’의 방언
가강,품사 없음,‘가강하다’의 어근.
가강수량,명사,공기 중의 수증기가 모두 응결될 때 생기는 물의 총량. 단위 면적당 강수량으로 표시된다.
가강하다,형용사,더욱 강력하고 의지가 굳다.
가강히,부사,더욱 강력하고 의지가 굳게.
가개,명사,‘홍역’의 방언
가개비,명사,‘개구리’의 방언
가개통,명사,길l 다리l 철로l 전화l 전신 따위를 임시로 이어 통하게 하는 일.
가개통하다,동사,길l 다리l 철로l 전화l 전신 따위를 임시로 이어 통하게 하다.
가객,명사,반갑고 귀한 손님.
가갭다,형용사,‘가볍다’의 방언
가갸,명사,‘가갸거겨……’로 시작되는 반절본문의 첫 두 글자.
가갸글,명사,‘한글’을 달리 이르는 말.
가갸날,명사,‘한글날’의 처음 이름. 1926년 한글날 기념식을 처음으로 치르는 자리에서 정해졌으며l 그 이후 여러 해 동안 사용되었다.
가갸뒤풀이,명사,경기 잡가의 하나. 한글의 자모 순서를 배열하여 말을 엮어 나가며 부르는 노래로l 서울 지방에서 주로 불렀는데l 경기도의 <창부 타령> 곡조를 많이 땄으며l 굿거리장단이다.
가갸 뒷다리[뒤 자]도 모른다,품사 없음,반절본문의 첫 글자인 ‘가’와 ‘갸’의 세로획조차도 쓸 줄 모른다는 뜻으로l 글자를 전혀 깨치지 못하여 무식하거나l 사리에 몹시 어두운 사람을 놀림조로 이르는 말.
가갸시절,명사,글자를 처음 배우던 시절이라는 뜻으로l 아는 것이 없고 어린 때를 이르는 말.
가갸표,명사,‘반절본문’의 북한어.
가걔,명사,‘가게’의 방언
가거,명사,벼슬살이에서 물러나 집 안에서 한가롭게 지냄.
가거도리,명사,전라남도 신안군 흑산면에 있는 이. 가거도를 비롯하여 대국홀도l 소국홀도l 오동여 등의 섬으로 이루어져 있다. 대부분 산지이며l 가거도의 중앙부에 독실산이 솟아 있다. 남쪽에 가거도항이 있고l 가거도 초등학교 등이 자리하고 있다. 다도해 해상 국립 공원의 일부이며l 문화재로 신안 가거도 패총(新安可居島貝?)이 있다.
가거라 사랑아,품사 없음,이영준 작사l 박세준 작곡의 대중가요. 2007년에 발표된 서문탁의 앨범에 수록되어 있다.
가거라 삼팔선,품사 없음,이부풍 작사l 박시춘 작곡의 대중가요. 1948년에 발표된 남인수의 앨범에 수록되어 있다.
가거방하다,형용사,‘비슷하다’의 방언
가거사,명사,‘과거사’의 방언
가거절통지,품사 없음,특허청이 우리나라가 가입한 마드리드 국제 상표 출원 의정서에 따라 국제 상표 등록 출원에 대하여 심사한 후 거절 이유나 이의를 밝혀 국제 사무국 및 출원인에게 알리는 일.
가거주,명사,주민 등록표상의 주소지에 실제 거주하지 않는 일.
가거주자,명사,주민 등록표상의 주소지에 실제 거주하지 않는 사람.
가거주지,명사,실제 거주지가 아니지만 주소지로 되어 있는 거주지.
가거지,명사,머물러 살 만하거나 살기 좋은 곳.
가거지방하다,형용사,‘비슷하다’의 방언
가거지사,명사,‘과거지사’의 방언
가거지지,명사,머물러 살 만하거나 살기 좋은 곳.
가거처,명사,머물러 살 만하거나 살기 좋은 곳.
가거하다,동사,벼슬살이에서 물러나 집 안에서 한가롭게 지내다.
가건물,명사,임시로 지은 건물.
가건축,명사,임시로 하는 건축.
가건축물,명사,임시로 설치한 건축물.
가검,명사,칼날이 없는l 크고 긴 칼.
가검물,명사,병균의 유무를 알아보기 위하여 거두는 물질.
가검자리,명사,‘가장자리’의 방언
가검출성,명사,세그먼트가 입력이 가능한지 아닌지를 나타내는 세그먼트 속성.
가겁다,형용사,‘가볍다’의 방언
가것방,명사,‘가겟방’의 방언
가게,명사,작은 규모로 물건을 파는 집.
가게거밋과,명사,절지동물문 거미강 거미목의 한 과. 우리나라에는 가게거미l 깔때기거미l 풀거미 따위의 7속 30종 이상이 분포한다.
가게 기둥에 입춘[주련],품사 없음,추하고 보잘것없는 가겟집 기둥에 ‘입춘대길’이라 써 붙인다는 뜻으로l 제격에 맞지 않음을 비유적으로 이르는 말.
가게내기,명사,미리 만들어 가게에 내놓고 파는 물건.
가게른,명사,빌헬름 하인리히 아우구스트 폰 가게른l 독일의 정치가(1799~1880). 1848년 삼월 혁명 때에 <FL>헤센다름슈타트</FL>의 총리가 되었고l 이후에 준비 의회 의원과 프랑크푸르트 국민 의회 의장을 지냈다. 임시 중앙 정부 때에는 프로이센 주도의 독일 통일을 추진하면서 소(小)독일주의를 주장하였으나l 비스마르크가 프로이센 수상이 된 뒤에는 대(大)독일주의로 전향하였다.
가게 맥주,품사 없음,술집이 아닌 일반 가게에서 손님에게 파는 맥주. 가게의 간이 탁자에서 간단한 안주와 함께 마신다.
가게 문,품사 없음,작은 규모로 물건을 파는 집의 문. 주로 손님들이 드나드는 문을 이른다.
가게비,명사,‘개구리’의 방언<DR /> 제주 지역에서는 ‘?게비’로도 적는다.
가게비참웨,명사,‘개구리참외’의 방언<DR /> 제주 지역에서는 ‘가게비?웨’로도 적는다.
가게 열쇠,품사 없음,가게의 출입문을 잠그거나 여는 데 사용하는 열쇠.
가게유시,명사,일본의 헤이안 시대에 <FL>고쿠시</FL>의 인수인계를 감독하던 관직. 율령제에 포함되지 않은 영외관(令外官)으로l <FL>고쿠시</FL>의 부정을 막기 위하여 <FL>고쿠시 </FL>교체 시에 사무 인계 문서를 감사하였다.
가게쟁이,명사,가게를 운영하는 사람을 낮잡아 이르는 말.
가게채,명사,가게로 쓰는 집채.
가게 털이,품사 없음,가게에 들어가 물건이나 돈 따위를 훔치는 짓. 또는 그런 짓을 하는 사람.
가겍,명사,‘가격’의 방언
가겍하다,형용사,‘과격하다’의 방언
가겐,명사,일본 가마쿠라 시대 <FL>고니조</FL> 천황 때의 연호(1303~1306).
가겝다,형용사,‘가볍다’의 방언
가겟바,명사,‘가겟방’의 방언
가겟방,명사,자그마하게 가게로 차려 쓰는 방.
가겟방이,명사,‘가겟방’의 방언
가겟세,명사,가게를 하는 자리를 빌려 쓰는 대가로 주는 돈.
가겟집,명사,가게를 벌이고 장사를 하는 집.
가격,명사,손이나 주먹l 몽둥이 따위로 때리거나 침.
가격가변제,품사 없음,같은 상품을 고객이나 상황에 따라 각각 다른 가격으로 판매하는 마케팅 전략.
가격가중지수,품사 없음,주가 지수를 계산해 내는 방법 중의 하나. 유가 증권을 구성하고 있는 주식의 가격에 따라 가중치를 두어 계산한다.
가격감시,품사 없음,물가를 규제하기 위하여 행정 당국이 거래 당사자에게 일정한 의무를 부과하여 적정한 가격이 형성되도록 유도하는 일.
가격감시제도,품사 없음,수출업체가 운반비l 제조 원가l 판매 관리비에 적당한 이윤을 더하여 결정한 수출 가격을 수입국에 알린 후l 수입국 정부가 그 가격을 참고하여 수입 제품 가격을 감시하는 제도.
가격거품,품사 없음,가격이 실제 가치보다 지나치게 높이 오르는 현상.
가격격차,명사,계획 경제 아래에서l 정부가 정한 소매가격과 상품 공급 가격과의 차이.
가격격차금,명사,기관과 기업들의 생산과 유통 과정에서 같은 물건에 대한 구입 가격과 판매 가격 사이에 생기는 차액.
가격견적,품사 없음,무역 거래에서 거래 조건을 가격으로 표시하여 상대방에게 제시하는 견적.
가격결정,품사 없음,상품을 교환하는 대가로 받게 될 재화의 가격을 결정하는 과정.
가격결정기구,품사 없음,물건이 지니는 가치를 결정하기 위한 조직이나 기관. 또는 그 구성 체계.
가격결정력,품사 없음,상품의 판매 가격에 큰 영향을 미치거나 상품의 판매 가격을 결정할 수 있는 힘.
가격결정론,품사 없음,개별적인 가격의 결정에 관한 이론. 일반적으로 재화의 개별 가격은 수요 곡선과 공급 곡선이 만나는 점에서 결정된다고 본다.
가격결정일,품사 없음,채권을 발행할 때 채권의 발행 이율이나 가격 등 채권의 조건을 최종적으로 결정하는 날.
가격결정조건,품사 없음,부대 비용 또는 할인 따위를 고려하여 거래 업체와 협상된 대금을 지급하는 것에 관한 조건.
가격결정회의,품사 없음,채권을 발행하기 전에 참가 예상 인수단과 판매단이 제출한 판매 희망액을 분석하고 검토하여l 간사단과 발행자가 최종 발행 조건을 결정하는 회의.
가격경기,품사 없음,물가가 오름에 따라 생산과 거래가 활발해져 기업의 이익이 늘어나는 상태.
가격경쟁,품사 없음,기업들끼리 서로 가격을 낮추는 경쟁. 같은 종류의 제품을 판매하는 기업들 사이에서 일어난다.
가격경쟁구도,품사 없음,기업들끼리 서로 가격을 낮추려고 경쟁하는 상태를 이르는 말.
가격경쟁력,품사 없음,서로 경쟁 관계에 있는 공급자가 가격을 수단으로 하여 상대편보다 이익을 더 얻을 수 있는 능력.
가격경쟁력상실,품사 없음,거래 시장에서 다른 공급자와 경쟁해야 하는 어떤 공급자가 가격을 수단으로 하여 상대편보다 더 많은 이익을 얻는 능력을 잃어버리는 일.
가격경쟁률,품사 없음,여러 기업에서 만든 동일한 제품에 대하여l 가격의 높고 낮음으로 인한 경쟁의 비율.
가격경직성,품사 없음,수요나 공급이 초과되어 가격 변동의 여건이 되었는데도 가격 변동이 일어나지 않는 성질.
가격경직성가정,품사 없음,수요나 공급의 변화에 가격이 즉각적으로 변하지 않는다는 가정. 경기 변동 이론에서 사용된다.
가격계열화,품사 없음,동일 상품군에 속하는 개별 상품의 품질이나 디자인을 고려하여 다양한 가격대를 설정하는 가격 전략. 소비자가 상품의 가격이 비쌀수록 품질이나 디자인이 더 좋으리라고 기대하도록 유인하려는 마케팅 전략이다.
가격계획화,명사,사회주의 사회에서 국가가 가격을 계획적으로 정하거나 변경하며 그것이 정확히 적용되도록 지도하는 일.
가격고시,품사 없음,증권 시장에서 거래되는 유가 증권이나 외환 시장에서 거래되는 각종 외환에 대해 가격을 산정하여 제시하는 일.
가격고시제,품사 없음,시중 가격으로 산정한 물건값을 정확히 표시하여 일반 소비자에게 널리 알리도록 하는 제도.
가격고정,품사 없음,같은 시장에 참여하는 기업들이 팔고 있는 재화나 서비스에 대하여 함께 모의하여 가격을 정하고 유지하는 일.
가격곡선,품사 없음,가격의 등락에 따른 소비의 변화를 나타내는 곡선.
가격공간,품사 없음,경제 관리를 위한 수단이라는 관점에서 본 가격.
가격공시제,품사 없음,시중 가격으로 산정한 물건의 값을 공개적으로 게시하여 일반에게 널리 알리는 제도.
가격관리,품사 없음,물가 안정을 위하여 생필품과 같은 특정 품목의 가격을 원가 단계부터 분석하여 관련 대책을 마련하는 일.
가격구성,품사 없음,상품의 가격을 구성하는 비용이나 이익의 합계. 상품 가격은 생산 비용l 관리 비용l 유통 비용l 이익으로 구성되어 있는데l 이들이 각각 가격에서 차지하는 비율을 알아보는 것이다.
가격구조,품사 없음,유통 구조별l 시장 형태별로 가격 책정을 달리하는 가격 형태.
가격권,명사,물건이 지니고 있는 가치를 돈으로 나타낸 범위.
가격규제,품사 없음,기업이 생산하거나 제공하는 제품의 가격이나 서비스 요금을 정부가 규제하는 일. 임대료l 임금l 이자 따위와 같은 생산 요소의 가격도 규제의 대상에 포함된다.
가격균형,명사,서로 쓸모가 다른 상품들의 가격 사이의 상호 관계.
가격기구,품사 없음,수요와 공급의 기능에 의하여 모든 재화와 용역의 가격이 결정되고 그 가격에 따라 사회 전체의 경제 활동이 조정되는 일. 또는 그런 구조.
가격기능과환경기준에의한규제방식,품사 없음,환경 보호를 위하여 환경 기준을 설정하고 시장 질서에 따른 가격을 통해 최적 생산량을 결정하는 규제 방식.
가격기준,명사,화폐 상품을 금의 일정한 무게로 표시한 돈의 단위.
가격널뛰기,품사 없음,가격이 큰 폭으로 오르내리는 일 또는 현상.
가격논리,품사 없음,가격의 변화를 설명하는 논리. 공급이 늘면 가격이 떨어지고 수요가 늘면 가격이 오르는 현상l 주가가 많이 떨어진 뒤에는 다시 오르고 많이 오른 뒤에는 다시 떨어지는 현상 따위를 이른다.
가격단계정책,품사 없음,품목별로 정확한 가격을 정하지 않은 채 모든 취급 상품을 몇 개의 가격 단계로 구분하여 판매하는 정책. 대체로 소매점에서 사용한다.
가격담합,품사 없음,같은 업종에 있는 사업자들끼리 몰래 계약이나 협정을 맺고 물건값을 결정하는 행위.
가격대,명사,어떤 물건의 가장 싼 값과 가장 비싼 값 사이의 범위.
가격대별거래량,품사 없음,세로축은 시간의 경과에 따른 거래 가격으로 하고l 가로축은 그 가격을 형성한 거래량으로 하여 나타낸 그래프.
가격대성능,품사 없음,프로젝트 따위에 소비된 비용에 대한 효율의 측정 지수. 프로젝트 관리에 매우 중요하다.
가격대성능비,품사 없음,컴퓨터 시스템 도입에 필요한 경비와 그 컴퓨터의 데이터 처리 능력과의 비율. 컴퓨터의 기종을 선정할 때에 고려해야 할 요소 가운데 하나이다.
가격덤핑,품사 없음,제품의 생산비를 무시하고 가격을 많이 내려 상품을 판매하는 일.
가격 돌풍,품사 없음,물건의 가격을 갑자기 낮추어 사회적으로 많은 관심을 모으거나 많은 영향을 끼치는 일을 이르는 말.
가격동향지수,품사 없음,부동산l 물건 따위가 지니고 있는 가치의 변동 추이나 전망을 조사하여 수치로 나타낸 것.
가격등통제령,품사 없음,1939년에 일제가 전시 물가를 통제하기 위하여 제정한 법령.
가격따먹기,품사 없음,주식을 단기간에 사고파는 행위를 통해 주식의 가격 변동에 따른 수익을 얻는 일.
가격라인,품사 없음,한 매장에서 사용하는 품목별 가격의 종류.
가격란,명사,결제 서류나 계약서 따위에서 물건의 가격을 적는 난.
가격레벨,품사 없음,채권이나 주식l 특정 제품 따위의 가격에 대한 일정한 표준이나 정도.
가격리더십,품사 없음,한 기업이 정기적으로 가격의 변화를 발표하고 다른 기업들이 이 가격을 따르는 식으로 가격을 담합하는 행위.
가격만족도,품사 없음,제품의 가격에 대하여 소비자가 느끼는 만족의 정도.
가격 메리트,품사 없음,가격상의 이점.
가격메커니즘,품사 없음,가격에 의하여 상품의 수요와 공급이 조정되는 원리. 가격이 오르면 상품의 공급은 늘지만 수요가 줄고l 가격이 떨어지면 수요는 늘지만 공급이 줄어들므로 적정 가격이 수요와 공급을 조정하게 된다.
가격 면,품사 없음,가격적인 측면.
가격모델,품사 없음,소득원과 대조하여 환자 간호의 모든 요소가 비용으로 정의되는 간호 관리 체계.
가격목표점,품사 없음,미래의 가격을 분석할 때 가격이 정착되거나 자리 잡는 점.
가격및가용성자료,품사 없음,대외 군사 판매를 통해 물자 및 용역을 구매하기 위하여 가격과 가능한 납기를 판단하여 계획과 예산을 검토하고l 오퍼 요청서를 작성하는 데 필요한 기초 자료를 작성하기 위해 요구하는 자료. 청약 및 수락서와 같은 수준의 신뢰성과 상세한 가격 정보를 가지며l 이는 미 국방부 해당 기관에서 요청받은 날로부터 45일 이내에 구매국에 제공된다.
가격바닥론,품사 없음,가격이 떨어질 대로 떨어져 이미 바닥을 쳤다는 이론.
가격반등폭,품사 없음,주식l 채권l 상품 따위의 가격이 떨어졌다가 오른 폭.
가격반응헤지비율,품사 없음,보유하고 있는 포트폴리오의 가치가 변동하지 않도록 헤지 비율을 결정하는 방법. 주로 이자율 변동에 따라 채권 포트폴리오의 가치 변동을 제거하기 위하여 이용한다.
가격범위,품사 없음,어떤 물건의 가장 싼 값과 가장 비싼 값 사이의 범위.
가격변동,품사 없음,건물이나 토지l 생산품 따위의 가격이 오르거나 내리는 것이 되풀이되는 상황.
가격변동개선교환,품사 없음,증권 가격이 변동하는 것을 개선하려고 증권을 교환하는 일.
가격변동공식,품사 없음,경제 여건의 변화를 반영하는 계약액의 수정을 위한 공식.
가격변동률,품사 없음,금융 시장이나 부동산 시장에서 가격이 변동할 것으로 예상되는 정도를 백분율로 나타낸 수치.
가격변동위험,품사 없음,시장 가격이 달라짐으로써 손해가 발생하는 위험.
가격변동제한폭,품사 없음,주가가 급변하여 주식 시장이 혼란스러워지는 것을 막기 위하여l 개별 종목의 주가가 하루 동안 오르내릴 수 있는 한계를 제한한 범위.
가격변동조항,품사 없음,물가 상승이나 정부 부과 비용의 증가에 따라 계약서상의 지급 금액이 그만큼 변동할 수 있게 규정한 조항.
가격변동준비금,품사 없음,재고 자산l 유가 증권 따위의 가격이 떨어질 것을 예상하고 그 손실에 대비하여 설정하는 준비금.
